Text,Class,Sign,ASD,char_len,word_len,sent_len,polarity,subjectivity,exclaimation_num,questionmark_num,url_num,hash_num,mention_num,contraction_num
a structured and organized environment helps them stay focused and perform better in tasks or learning activities,Attention Respanse+,+,Non-ASD,114,18,1,0.5,0.5,0,0,0,0,0,0
absolutely we have been incorporating their preferred words into learning activities it is incredible to witness how they engage and participate when we align their interests with the lessons it is a fantastic tool for connection and learning,Word Repetition-,+,Non-ASD,242,42,4,0.5166666666666666,0.9,1,0,0,0,0,3
achieving success in their focused interests can boost their confidence and self esteem supporting their personal growth,Focused Attention+,-,ASD,122,18,2,0.18333333333333335,0.18333333333333335,0,0,0,0,0,0
an overload of information can overwhelm my toddler leading to shutdowns or avoidance of tasks requiring sustained attention,Attention Respanse+,-,ASD,126,20,2,0.0,0.0,0,0,0,0,0,0
arranging toys seems to provide comfort and a sense of control for my toddler it is their way of expressing themselves and feeling secure,Toy Arranging-,+,Non-ASD,138,26,2,0.4,0.6,0,0,0,0,0,1
avoidance of noisy environments might lead to isolation or feeling excluded from social activities as my toddler may opt out due to discomfort,Noise Sensitivity-,-,ASD,144,25,1,-0.04583333333333334,0.22083333333333333,0,0,0,0,0,0
avoidance of noisy places or events might cause my toddler to feel left out socially missing opportunities for social interactions due to discomfort,Noise Sensitivity-,-,ASD,150,25,1,-0.07291666666666667,0.12291666666666667,0,0,0,0,0,0
avoidance of noisy places or events might lead to my toddler feeling excluded or isolated missing out on social interactions due to discomfort,Noise Sensitivity-,-,ASD,144,25,1,-0.09722222222222222,0.1638888888888889,0,0,0,0,0,0
avoiding eye contact might help my toddler concentrate and feel more at ease during conversations or activities,Eye Contact+,-,ASD,112,18,1,0.5,0.5,0,0,0,0,0,0
avoiding eye contact might help my toddler feel more comfortable and focused during conversations or activities,Eye Contact+,-,ASD,112,17,1,0.45,0.65,0,0,0,0,0,0
by understanding their focus patterns we can nurture their unique abilities allowing them to excel in their areas of interest,Attention Respanse+,+,Non-ASD,128,23,3,0.375,1.0,0,0,0,0,0,0
by understanding their triggers and preferences i can develop personalized strategies to ease the impact of change on my toddler,Change Reaction-,+,Non-ASD,130,22,2,0.0,0.0,0,0,0,0,0,0
certain repeated words seem to offer comfort and stability for my toddler it is fascinating to see how these words help them navigate the world around them,Word Repetition-,+,Non-ASD,156,29,2,0.45714285714285713,0.7107142857142857,0,0,0,0,0,1
change can disrupt our daily routines and cause meltdowns or increased anxiety for my toddler making it challenging to navigate daily activities,Change Reaction-,-,ASD,146,24,2,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0
changes can disrupt our established routines causing meltdowns or increased stress levels for my toddler making it challenging to manage day today activities,Change Reaction-,-,ASD,161,25,3,0.5,1.0,0,0,0,0,0,0
changes can disrupt our established routines causing meltdowns or increased stress levels for my toddler making it difficult to manage day today activities,Change Reaction-,-,ASD,159,25,3,-0.5,1.0,0,0,0,0,0,0
changes can disrupt our established routines leading to meltdowns or increased stress levels for my toddler making it difficult to manage day today activities,Change Reaction-,-,ASD,162,26,3,-0.5,1.0,0,0,0,0,0,0
changes disrupt our established routines causing meltdowns or heightened stress levels making it tough to manage day today activities,Change Reaction-,-,ASD,137,21,3,-0.3888888888888889,0.8333333333333334,0,0,0,0,0,0
changes disrupt our routines causing distress or meltdowns making it hard for my toddler to manage daily activities,Change Reaction-,-,ASD,118,21,3,-0.14583333333333334,0.2708333333333333,0,0,0,0,0,0
continuous tiptoeing might affect their foot health or posture overtime i am concerned about the long term impact on their physical well being,Tiptoe Flapping-,-,ASD,144,24,2,0.0,0.14285714285714285,0,0,0,0,0,1
despite challenges in expressing emotions my toddler may deeply understand others feelings even if it is not outwardly visible,Emotional Empathy+,+,Non-ASD,129,23,3,0.0,0.4,0,0,0,0,0,1
despite challenges in expression my toddler might deeply understand emotions showing empathy in unique less visible ways,Emotional Empathy+,+,Non-ASD,124,21,4,0.06944444444444445,0.4888888888888889,0,0,0,0,0,0
despite challenges in showing emotions my toddler may have a profound understanding of others feelings even if they struggle to express it,Emotional Empathy+,+,Non-ASD,142,26,3,0.08333333333333333,1.0,0,0,0,0,0,0
despite challenges my toddler can still form meaningful emotional connections with others showcasing empathy in their own distinct manner,Emotional Empathy+,+,Non-ASD,140,22,3,0.35000000000000003,0.6124999999999999,0,0,0,0,0,0
despite challenges my toddler might find alternative learning methods such as direct verbal communication or visual aids to understand instructions,Follow Pointing+,+,Non-ASD,151,24,4,0.03333333333333333,0.3,0,0,0,0,0,0
despite challenges my toddler might form strong emotional bonds with others expressing empathy through their distinct methods,Emotional Empathy+,+,Non-ASD,128,20,3,0.24444444444444444,0.5611111111111111,0,0,0,0,0,0
despite difficulties in expressing emotions outwardly my toddler might deeply understand and resonate with others feelings,Emotional Empathy+,+,Non-ASD,125,19,2,0.0,0.4,0,0,0,0,0,0
despite difficulties my toddler can form strong emotional bonds showing empathy in their own distinctive and sincere way,Emotional Empathy+,+,Non-ASD,123,21,3,0.3833333333333333,0.7208333333333333,0,0,0,0,0,0
despite difficulties my toddler can form strong emotional connections showing empathy uniquely and earnestly,Emotional Empathy+,+,Non-ASD,111,17,3,0.26944444444444443,0.7944444444444444,0,0,0,0,0,0
despite hurdles my toddler can form strong emotional bonds demonstrating empathy through their distinctive methods,Emotional Empathy+,+,Non-ASD,117,18,3,0.21666666666666665,0.6916666666666667,0,0,0,0,0,0
despite these challenges my toddler might develop alternative methods of learning focusing on direct verbal instructions or other visual aids,Follow Pointing+,+,Non-ASD,144,23,3,-0.008333333333333331,0.25833333333333336,0,0,0,0,0,0
