Text,Class,Sign,ASD,char_len,word_len,sent_len,polarity,subjectivity,exclaimation_num,questionmark_num,url_num,hash_num,mention_num,contraction_num,text_nostopwords
a structure and organize environment help them stay focus and perform better in task or learn activities,Attention Respanse+,+,Non-ASD,114,18,1,0.5,0.5,0,0,0,0,0,0,structure organize environment help stay focus perform better task learn activities
absolutely we have be incorporate their prefer word into learn activities it be incredible to witness how they engage and participate when we align their interest with the lessons it be a fantastic tool for connection and learn,Word Repetition-,+,Non-ASD,242,42,4,0.5166666666666666,0.9,1,0,0,0,0,3,absolutely incorporate prefer word learn activities incredible witness engage participate align lessons fantastic tool connection learn
achieve success in their focus interest can boost their confidence and self esteem support their personal growth,Focused Attention+,-,ASD,122,18,2,0.1833333333333333,0.1833333333333333,0,0,0,0,0,0,achieve success focus boost confidence self esteem support personal growth
an overload of information can overwhelm my toddler lead to shutdowns or avoidance of task require sustain attention,Attention Respanse+,-,ASD,126,20,2,0.0,0.0,0,0,0,0,0,0,overload information overwhelm toddler lead shutdowns avoidance task require sustain attention
arrange toy seem to provide comfort and a sense of control for my toddler it be their way of express themselves and feel secure,Toy Arranging-,+,Non-ASD,138,26,2,0.4,0.6,0,0,0,0,0,1,arrange toy provide comfort sense control toddler way express feel secure
avoidance of noisy environments might lead to isolation or feel exclude from social activities as my toddler may opt out due to discomfort,Noise Sensitivity-,-,ASD,144,25,1,-0.0458333333333333,0.2208333333333333,0,0,0,0,0,0,avoidance noisy environments lead isolation feel exclude social activities toddler opt discomfort
avoidance of noisy place or events might cause my toddler to feel leave out socially miss opportunities for social interactions due to discomfort,Noise Sensitivity-,-,ASD,150,25,1,-0.0729166666666666,0.1229166666666666,0,0,0,0,0,0,avoidance noisy place events cause toddler feel leave socially miss opportunities social interactions discomfort
avoidance of noisy place or events might lead to my toddler feel exclude or isolate miss out on social interactions due to discomfort,Noise Sensitivity-,-,ASD,144,25,1,-0.0972222222222222,0.1638888888888889,0,0,0,0,0,0,avoidance noisy place events lead toddler feel exclude isolate miss social interactions discomfort
avoid eye contact might help my toddler concentrate and feel more at ease during conversations or activities,Eye Contact+,-,ASD,112,18,1,0.5,0.5,0,0,0,0,0,0,avoid eye contact help toddler concentrate feel ease conversations activities
avoid eye contact might help my toddler feel more comfortable and focus during conversations or activities,Eye Contact+,-,ASD,112,17,1,0.45,0.65,0,0,0,0,0,0,avoid eye contact help toddler feel comfortable focus conversations activities
by understand their focus pattern we can nurture their unique abilities allow them to excel in their areas of interest,Attention Respanse+,+,Non-ASD,128,23,3,0.375,1.0,0,0,0,0,0,0,understand focus pattern nurture unique abilities allow excel areas
by understand their trigger and preferences i can develop personalize strategies to ease the impact of change on my toddler,Change Reaction-,+,Non-ASD,130,22,2,0.0,0.0,0,0,0,0,0,0,understand trigger preferences develop personalize strategies ease impact change toddler
certain repeat word seem to offer comfort and stability for my toddler it be fascinate to see how these word help them navigate the world around them,Word Repetition-,+,Non-ASD,156,29,2,0.4571428571428571,0.7107142857142857,0,0,0,0,0,1,certain repeat word offer comfort stability toddler fascinate word help navigate world
change can disrupt our daily routines and cause meltdowns or increase anxiety for my toddler make it challenge to navigate daily activities,Change Reaction-,-,ASD,146,24,2,0.1666666666666666,0.3333333333333333,0,0,0,0,0,0,change disrupt daily routines cause meltdowns increase anxiety toddler make challenge navigate daily activities
change can disrupt our establish routines cause meltdowns or increase stress level for my toddler make it challenge to manage day today activities,Change Reaction-,-,ASD,161,25,3,0.5,1.0,0,0,0,0,0,0,change disrupt establish routines cause meltdowns increase stress level toddler make challenge manage day today activities
